id,first_name,last_name,dob,zip,tier
u158576,Lisa,Walker,5/1/60,69624,none
u159719,David,Rodriguez,6/5/63,81797,none
u159747,Paul,Brown,3/26/64,54540,none
u162168,Margaret,Hernandez,1/14/70,26892,none
u165104,Betty,Perez,4/1/73,64554,silver
u165353,Lisa,Jones,1/3/69,72667,gold
u165855,Michelle,Miller,9/27/73,87793,platinum
u167042,Lisa,Anderson,11/21/76,61543,none
u168244,Michelle,Gonzalez,1/29/94,59444,silver
u168455,Emily,Jones,5/16/62,20295,diamond
u168503,Robert,Torres,7/26/97,84053,gold
u170715,Margaret,Brown,2/20/99,76249,gold
u171069,Steven,Martinez,11/13/89,53986,platinum
u171095,Betty,Moore,3/31/82,40613,gold
u171105,Richard,Hill,5/13/72,69480,silver
u171966,James,Martinez,8/28/92,42567,diamond
u173262,Donald,Williams,10/10/05,56012,gold
u173702,Patricia,Williams,6/9/79,72986,none
u176041,Andrew,Williams,12/2/95,63776,silver
u176515,Susan,White,10/3/74,84202,gold
u178616,Sarah,Young,7/21/66,13134,diamond
u178636,Richard,Thompson,7/9/99,87793,none
u178664,Daniel,Clark,8/24/71,68589,silver
u178935,Susan,Martin,11/7/65,82894,gold
u183669,Linda,King,7/31/96,10787,diamond
u183868,Steven,Jackson,6/15/91,82412,platinum
u184186,James,Jackson,8/29/68,63065,diamond
u184294,Linda,Young,9/18/98,68468,platinum
u185811,Anthony,Jackson,4/14/98,22090,diamond
u186694,Donna,Martin,2/13/99,39357,none
u186747,Sandra,Perez,1/14/82,66293,platinum
u187047,Karen,Martin,4/8/02,41596,gold
u189271,Michael,Hill,4/1/94,43189,silver
u191043,Matthew,Jackson,3/9/80,72551,gold
u193201,Linda,Moore,6/4/95,72271,none
u193328,James,Robinson,7/15/81,28480,diamond
u193822,Karen,Davis,3/3/03,39918,gold
u195252,Sandra,Brown,5/31/95,44803,none
u199531,Charles,Lewis,8/15/95,67790,none
u201848,Elizabeth,Rodriguez,5/22/84,73214,diamond
u204471,Matthew,Robinson,3/11/66,47161,none
u206469,Barbara,Perez,8/22/82,57182,silver
u208244,Matthew,Ramirez,9/30/84,95628,none
u209841,Lisa,Brown,5/10/93,73725,none
u210515,Sandra,Thompson,12/12/61,87793,silver
u210774,Paul,Allen,7/29/02,29504,silver
u212003,Sandra,Martinez,4/6/81,78469,gold
u212169,Paul,Hill,10/14/84,99718,gold
u212187,Nancy,Davis,8/13/63,21476,gold
u212886,Mark,Martinez,11/6/88,34589,silver
u213975,Michael,Moore,9/2/82,40100,gold
u214098,Jessica,Johnson,1/21/95,49308,gold
u214373,Nancy,Smith,7/27/69,77869,diamond
u216301,Andrew,Perez,5/15/64,92693,none
u217094,Linda,Clark,12/8/72,98232,platinum
u217162,Margaret,Hill,3/17/95,26089,silver
u217364,David,Scott,5/28/62,17732,gold
u217448,Ashley,Martinez,10/9/97,30330,diamond
u218116,John,Taylor,4/8/95,54932,gold
u218790,Daniel,White,3/23/99,24532,none
u219201,Kimberly,Jackson,11/4/98,14808,gold
u220712,James,Anderson,5/27/69,53835,none
u221356,Joshua,Miller,4/30/01,91498,diamond
u221418,Mark,Ramirez,6/12/01,31018,none
u223321,Daniel,Martin,12/14/91,48888,platinum
u224149,Nancy,King,6/24/74,71420,diamond
u224780,Mary,Rodriguez,3/20/75,61157,none
u224855,Daniel,Hill,5/28/89,28490,gold
u224910,Matthew,Anderson,7/19/90,98838,none
u225290,Patricia,Thompson,7/22/02,34593,gold
u225580,Kimberly,Thomas,11/17/96,63932,silver
u226151,Barbara,Clark,4/7/74,75024,gold
u226848,Mary,Young,6/14/85,35172,gold
u228547,Michael,Flores,2/17/68,57115,none
u228861,James,Allen,3/5/05,31956,platinum
u229164,Betty,Scott,2/3/70,61235,none
u229235,James,Miller,7/18/87,22340,gold
u229916,Andrew,Thompson,1/14/93,16177,silver
u231282,Jessica,Wilson,9/14/62,28170,none
u233560,William,Williams,12/27/90,54428,diamond
u234038,William,Torres,10/19/72,99402,platinum
u234599,Donald,Wilson,1/31/92,78276,silver
u235579,Linda,Brown,5/28/02,34594,silver
u236584,Andrew,Wilson,11/1/64,52998,silver
u236981,Mary,Moore,7/22/77,34012,silver
u238231,Jennifer,Miller,2/11/83,78053,diamond
u239849,Charles,White,11/14/75,81142,silver
u240649,Susan,Davis,2/15/89,87920,none
u241622,Barbara,Lewis,3/8/04,96302,none
u242273,James,Lopez,7/23/86,86374,none
u242324,Donald,Clark,2/6/94,66890,silver
u245450,Richard,Jackson,9/20/63,29942,none
u246069,Karen,Thompson,2/12/86,93039,gold
u246220,Karen,Martinez,9/7/98,90960,platinum
u247827,Susan,Smith,2/17/63,74676,platinum
u248173,John,Rodriguez,10/30/96,87793,none
u248432,Richard,Robinson,2/20/84,84807,none
u248442,Richard,Ramirez,8/28/93,37967,diamond
u249867,Christopher,Lewis,9/4/78,88389,none
u251490,Donna,Garcia,2/13/91,67852,gold
u252097,Linda,Harris,1/14/72,14313,gold
u252201,Jessica,Robinson,11/9/71,41846,gold
u253445,Donna,Jackson,11/23/69,73931,diamond
u253638,Christopher,Thomas,1/9/92,89163,diamond
u254439,Susan,King,11/14/74,51639,none
u254655,Mark,Allen,10/20/62,82852,gold
u254996,Anthony,Harris,8/18/98,35741,none
u257203,Donna,Robinson,9/28/95,10067,gold
u257272,Paul,Thompson,8/1/01,15707,silver
u259789,William,Lee,10/31/66,18161,gold
u260102,Donna,Ramirez,12/25/66,27585,gold
u260408,Ashley,Anderson,3/2/98,41830,none
u260804,Joshua,Flores,5/28/72,68093,none
u263309,Richard,Wright,3/8/75,98369,gold
u264661,Paul,Martinez,9/21/73,89950,platinum
u265161,Betty,Davis,8/12/78,39359,gold
u266061,Patricia,Clark,12/25/60,17432,platinum
u267223,Jennifer,King,10/3/74,96616,silver
u268261,Kimberly,Allen,6/23/80,99721,none
u269994,Susan,Walker,8/31/62,24293,gold
u271167,Robert,Scott,2/28/72,77596,silver
u271648,Lisa,Johnson,3/26/04,65774,gold
u272236,Elizabeth,Robinson,1/10/92,94636,platinum
u272900,Steven,Lee,11/3/85,93108,gold
u274876,Michelle,Garcia,6/24/82,97234,platinum
u278518,Elizabeth,Ramirez,1/25/90,47538,none
u280004,William,Moore,8/18/70,99525,diamond
u281846,Nancy,Lewis,9/5/96,54321,gold
u281909,Betty,Smith,6/26/83,74674,gold
u281932,Linda,Martin,3/15/74,99842,none
u282041,James,Rodriguez,9/22/90,35184,diamond
u283302,Paul,Lee,3/11/78,27931,none
u283534,Sarah,Davis,12/30/04,31392,none
u283580,Matthew,Taylor,9/12/95,86873,none
u283691,James,Perez,10/7/89,58842,platinum
u284078,William,Flores,12/20/72,83055,none
u284158,Karen,Wright,9/29/93,56731,diamond
u284896,Margaret,Martinez,5/21/87,67428,silver
u285717,Kimberly,Williams,1/15/81,61225,platinum
u290207,Michael,Wright,12/17/93,67527,none
u290513,Matthew,Nguyen,2/1/91,96931,gold
u290541,Kimberly,Torres,1/5/95,51618,diamond
u291818,Paul,Robinson,4/12/02,71416,silver
u293459,Linda,Davis,11/22/05,18824,none
u293658,Thomas,Nguyen,6/20/87,29213,none
u294895,James,Moore,10/16/96,38806,platinum
u295256,Margaret,Garcia,6/13/96,24850,none
u298117,Ashley,Taylor,10/6/68,30417,platinum
u300077,Joseph,Taylor,10/25/73,61649,gold
u300260,Ashley,Miller,3/31/73,70801,gold
u300413,Jessica,Jones,6/10/60,80856,none
u301942,Barbara,Thomas,9/7/94,83233,none
u303266,Lisa,Williams,1/30/99,36018,gold
u305324,Joshua,Clark,8/1/69,37527,diamond
u305910,William,Wilson,5/20/78,58218,silver
u306798,Robert,Taylor,12/22/69,16108,platinum
u307251,Robert,Gonzalez,12/4/83,12788,diamond
u308104,Jessica,Allen,2/16/75,63233,none
u308635,Michelle,Martin,9/20/93,37174,silver
u308746,Michelle,Hill,8/29/67,21477,gold
u308846,Nancy,Harris,3/26/63,64045,diamond
u309602,Christopher,Jackson,12/3/94,10924,silver
u309678,Donald,Taylor,12/9/60,86739,none
u310973,Patricia,Miller,5/9/70,84660,none
u311940,Andrew,Taylor,6/28/92,63922,platinum
u311948,William,Clark,2/15/03,80889,none
u312093,Sarah,Johnson,7/23/88,37586,none
u312774,Richard,Williams,9/13/69,93018,gold
u312973,Karen,Allen,8/9/00,10542,gold
u314531,Donald,Sanchez,2/10/93,97656,gold
u317496,Sandra,Young,10/11/82,27875,none
u317756,Charles,Gonzalez,6/12/63,14333,gold
u321376,Jessica,Williams,8/25/03,79578,gold
u321577,Donna,Wilson,9/29/01,62999,platinum
u325891,Andrew,Sanchez,7/8/80,94275,gold
u326269,Mark,Rodriguez,4/8/74,74187,gold
u326932,Thomas,Garcia,12/28/66,50452,none
u327102,Lisa,Torres,10/23/91,83174,silver
u327692,Mark,Perez,7/28/05,59826,diamond
u327883,Charles,Jackson,1/27/75,81292,gold
u329462,Jessica,Lopez,4/24/62,80412,silver
u329499,Lisa,Garcia,12/19/74,18656,none
u329671,Susan,Lewis,9/6/96,20260,platinum
u330062,Daniel,Hernandez,9/1/78,89278,diamond
u330311,Emily,Taylor,4/24/99,87793,platinum
u331321,Daniel,Lopez,5/18/71,87793,silver
u333998,Anthony,Johnson,5/2/96,12004,platinum
u334152,Kimberly,Nguyen,9/11/83,36732,none
u335960,John,Scott,11/24/61,64964,none
u338724,Barbara,King,1/17/72,90873,none
u342213,Kimberly,Perez,10/30/94,57187,platinum
u342345,Robert,Smith,5/16/75,50905,diamond
u344240,Ashley,Lee,7/24/99,20972,none
u346205,Joseph,Lee,10/24/64,13045,gold
u349255,Mark,Flores,8/24/93,41342,gold
u353343,Michael,Taylor,10/15/67,90460,silver
u353471,Lisa,Robinson,5/8/96,13655,silver
u355454,Daniel,Thomas,1/4/90,87056,silver
u355698,Ashley,Young,11/29/80,77193,diamond
u355740,Mary,Sanchez,6/19/05,58170,silver
u358005,Jennifer,Thomas,11/12/00,30103,none
u358486,Michelle,Johnson,7/5/63,71047,none
u358654,Elizabeth,Torres,1/21/03,43868,none
u359055,Robert,King,2/17/69,24442,gold
u360315,Michelle,Robinson,12/20/84,74270,none
u369569,Anthony,Wright,6/8/89,24030,gold
u379881,Jennifer,Lopez,3/7/62,71992,none
u386149,Elizabeth,Thompson,9/18/95,83340,platinum
u403569,Matthew,Sanchez,7/2/02,55518,silver
u403733,Patricia,Hernandez,2/21/72,54963,silver
u404021,Kimberly,Scott,9/24/63,22783,platinum
u405472,Margaret,Nguyen,4/24/67,99881,none
u413931,Robert,Brown,3/3/91,10674,gold
u414428,Margaret,Rodriguez,5/21/92,41678,platinum
u415462,Betty,Hill,5/27/60,39707,gold
u426876,Karen,Clark,3/23/66,75239,platinum
u438592,Michael,Clark,2/11/77,50828,none
u438999,Linda,Jones,12/10/69,45973,diamond
u441303,Michelle,Wright,4/7/02,39440,none
u444505,Margaret,Moore,11/13/63,11175,none
u445057,Emily,Hernandez,3/20/88,74963,platinum
u446699,Sarah,Martin,4/11/62,56512,gold
u449820,Elizabeth,Clark,3/29/88,76712,platinum
u457694,Anthony,Jones,3/24/95,54678,diamond
u468047,Linda,Allen,3/28/71,22014,silver
u470051,Steven,King,9/4/84,20158,silver
u490060,James,King,6/17/96,49946,gold
u493195,Mark,Gonzalez,10/1/72,85191,diamond
u493849,Sandra,White,3/25/73,65350,silver
u494151,Susan,Nguyen,4/5/96,39655,none
u497214,Sandra,Martin,6/18/87,58168,silver
u500863,Charles,Nguyen,11/20/05,59959,none
u506206,Anthony,Allen,5/15/65,29067,silver
u508693,Mark,Sanchez,8/13/74,40360,gold
u530064,Margaret,Wilson,4/1/71,47735,diamond
u534494,Charles,Rodriguez,1/7/72,36124,gold
u537552,Matthew,Young,2/21/03,73061,none
u539143,Charles,Perez,3/10/64,87793,gold
u539806,Lisa,Nguyen,11/25/63,57076,silver
u542304,Sandra,Davis,9/28/94,47080,platinum
u546712,Thomas,Rodriguez,3/2/76,60376,none
u546764,Donald,Harris,12/4/90,90270,gold
u547418,Michelle,Jones,6/6/67,26956,none
u548948,Michelle,Anderson,3/30/67,25657,silver
u551192,Lisa,Perez,8/25/75,62585,gold
u552293,Andrew,Harris,10/29/83,56538,gold
u564770,Christopher,Jones,2/1/78,75569,none
u567339,Christopher,Anderson,5/31/83,71730,gold
u572418,Anthony,Williams,6/2/89,39969,silver
u597119,Sandra,Smith,10/11/82,96007,gold
u604299,Joseph,Hill,4/4/83,59012,none
u609047,Karen,Scott,12/13/00,92858,none
u612143,Michael,Scott,12/3/73,57022,gold
u612515,John,Garcia,4/7/00,66612,diamond
u620669,Joshua,Garcia,9/16/73,46360,none
u628981,Robert,Martin,6/18/63,57082,diamond
u632315,John,Ramirez,11/16/75,62543,diamond
u636781,Richard,Taylor,12/14/05,47107,platinum
u639107,Joshua,Robinson,1/12/63,23800,silver
u639871,Nancy,Jones,5/10/88,72878,none
u640171,Mark,Young,6/5/66,48189,silver
u641688,James,Clark,4/21/77,25810,platinum
u642607,David,Thompson,12/16/00,68456,silver
u643036,Christopher,Taylor,6/1/81,30219,gold
u647538,Jessica,Miller,2/23/01,55090,none
u648148,William,Hernandez,4/19/74,41920,gold
u655178,David,Martinez,12/7/89,34502,none
u658048,Christopher,Lopez,2/6/72,54314,silver
u666744,Jennifer,Garcia,9/30/02,75444,none
u668604,Kimberly,Lee,2/16/65,39975,diamond
u669979,Daniel,Jackson,5/24/67,87793,silver
u671436,Matthew,Clark,10/21/90,99273,platinum
u674590,David,Garcia,3/21/60,60319,gold
u676921,William,Thomas,3/6/67,60949,diamond
u680128,Betty,Thompson,4/30/69,87793,gold
u694187,Joseph,Johnson,5/16/98,77309,gold
u699072,Margaret,Scott,8/10/91,70525,gold
u716724,Betty,Martinez,7/6/00,84172,none
u729490,Elizabeth,Taylor,2/15/90,91014,silver
u736926,Ashley,Walker,12/1/93,38921,gold
u736947,Matthew,Hernandez,12/20/05,98556,gold
u737205,Elizabeth,Miller,6/24/92,62335,none
u740620,David,Ramirez,8/30/70,75827,none
u740819,Steven,Thomas,3/18/72,50790,none
u742542,Mary,Williams,6/5/88,73789,none
u743224,Linda,Flores,1/14/62,40494,platinum
u749765,Matthew,Brown,5/19/76,51225,none
u753280,Paul,Miller,3/23/71,77884,gold
u762721,John,Jones,9/21/61,99642,none
u765114,Patricia,Johnson,4/24/90,10215,gold
u765490,John,Anderson,5/6/77,22044,gold
u770876,Linda,Thompson,12/17/63,71835,silver
u781558,Joshua,Jones,2/15/97,51568,none
u782544,Joshua,Anderson,7/25/65,87793,gold
u790842,Karen,Smith,12/4/87,39802,platinum
u796620,Paul,Sanchez,12/11/94,66538,silver
u796636,Christopher,Lee,9/7/64,16373,none
u799236,Michelle,Perez,2/1/75,85416,silver
u800958,Jessica,Rodriguez,2/9/92,15300,silver
u806661,Christopher,Perez,12/11/66,63281,platinum
u822069,Christopher,Young,8/15/96,87793,silver
u831056,Charles,Scott,11/4/64,44532,none
u831406,Margaret,Miller,7/16/99,36253,none
u831460,Sandra,Garcia,11/5/91,52835,gold
u833004,Elizabeth,Smith,12/13/82,33405,none
u840440,Steven,Harris,10/15/87,24825,none
u851811,Donna,Rodriguez,9/11/00,33700,gold
u861266,Karen,King,12/24/96,57730,silver
u867309,Daniel,Jones,3/17/76,13704,none
u870392,John,Williams,10/2/62,40635,none
u872381,Matthew,Harris,9/14/00,15727,none
u879327,Karen,Johnson,9/12/83,11060,gold
u883668,David,Jones,2/2/77,60157,none
u886587,Elizabeth,Young,10/11/94,80068,diamond
u896107,William,Hill,10/1/65,10590,platinum
u896458,Michelle,Wilson,1/31/92,26994,silver
u896706,Joseph,Garcia,8/21/68,25268,platinum
u899269,Elizabeth,Johnson,1/25/71,89252,silver
u914146,Ashley,Garcia,5/8/62,89413,none
u925264,Susan,Williams,6/21/91,36131,none
u925380,Donald,Thompson,11/30/61,20690,gold
u932949,Kimberly,Brown,11/20/75,71091,none
u941421,Ashley,Lewis,3/22/96,35913,gold
u943142,Donald,Martinez,3/23/61,10195,silver
u949216,Andrew,Martinez,12/16/88,78186,diamond
u949731,Jennifer,Williams,12/13/00,91447,none
u950905,Ashley,Brown,7/1/04,64421,diamond
u960234,Joseph,Robinson,10/2/02,18752,gold
u967265,Ashley,Robinson,3/21/67,80376,diamond
u978405,Daniel,Torres,8/21/64,33217,none
u986975,Lisa,Gonzalez,1/22/96,40710,gold
u987026,Daniel,Gonzalez,7/12/83,87793,gold
u990491,Jennifer,Taylor,6/29/62,64450,silver
u991508,Matthew,White,8/2/68,60060,platinum
u993910,Donald,Garcia,3/9/67,72217,platinum
u996283,Thomas,Sanchez,12/5/89,10048,silver
u996336,Donald,Jackson,3/1/92,67122,none
